input1,input2,output1,output2
[5 7],12,5,7
[2500 6352],8852,2500,6352
[-14 5],-9,-14,5
[40 -19],21,40,-19
[-4 4],0,-4,4
[-5 -20],-25,-5,-20
[-7831 -3001],-10832,-7831,-3001
[10000 -10000],0,10000,-10000
[8310 -8320],-10,8310,-8320
[0 1234],1234,0,1234
[1 3 5],4,1,3
[1 3 5],6,1,5
[1 3 5],8,3,5
[-1 0 1],0,-1,1
[-1 0 1],1,0,1
[-1 0 1],-1,-1,0
[14 -35 78],-21,14,-35
[14 -35 78],92,14,78
[14 -35 78],43,-35,78
[9492 -3791 -7317],5701,9492,-3791
[9492 -3791 -7317],2175,9492,-7317
[9492 -3791 -7317],-11108,-3791,-7317
[237 410 -777],647,237,410
[237 410 -777],-540,237,-777
[237 410 -777],-367,410,-777
[9490 7037 6255 8663],15745,9490,6255
[-7061 -4112 -4293 7759],-11354,-7061,-4293
[5480 148 -1048 6029 -6456 -1184 -3212 8380 -9227],-10411,-1184,-9227
[4943 3065 -3466 3805 5434 -2313],-401,3065,-3466
[133 -706 -2896 4499 8338 9264 8517 3557],2851,-706,3557
[-638 8701 967],8063,-638,8701
[-5928 -7129 -2191 -489 -6385 5890 -1111 -1677 -4477 6385 -941],4194,-2191,6385
[4282 4777 8309 -9076 -7637 270 5103 -7441 -6684 8050 -7672 -2429 -7949 5496 5205 191],-7679,270,-7949
[3667 6791 2560 7830 9195],14621,6791,7830
[9603 -9470 5065 -1854 -9120 6208 -3509 -8088 753 4530 5575 4899 4163 -7767 -2518 -1262 8567 1065 8280 9636],-3604,4163,-7767
[8099 -3140 7017 1069 -677],392,1069,-677
[8860 2357 5469 4878 8327],11217,8860,2357
[-9661 -8251 -7209 4019 6163 393],-15460,-8251,-7209
[9329 -7396 -7145 1073 -7238 1849 9226 -3963 -5194 -9072 -4504 7772 -1253 -202],534,-7238,7772
[-2011 -4899 4354 -6862 7934 1642 -590 -1133 -2843 -9116 1508 2870 -1635 -421 -7267],3221,4354,-1133
[5095 9036 -8609 -5757 -8737 -5436],-14173,-8737,-5436
[7482 -1790 7795 -282 7602 -4590 -3368 5305 7792 7496 2378 5618 -9638 8150 7082 6598 -8774 -3734 1774 -3213],9874,7496,2378
[9034 7999 -2203 3857 702],9736,9034,702
[1098 -8905 -3441 -1038 -1788 3471 -7326 -7914 -3897],-5685,-1788,-3897
[-2191 8523 5761 -964 2454 -2579 3331 -3754 9144],5944,8523,-2579
