input1,input2,output1
1,1,1
4,400000,4
54,24,6
4200,3528,168
820000,63550,2050
123456,654321,3
211074,758644,2
746488,404426,2
541588,339043,1
764233,305783,1
911971,86003,1
163262,86876,2
670367,9694,1
36165,442837,1
940988,822401,1
956716,840753,1
108628,392987,1
595145,8625,5
877035,147417,3
906449,96873,1
772971,664689,3
203375,174368,1
462549,680024,1
558662,657193,1
257831,855384,1
214915,926701,1
886659,244280,1
643842,8732,2
209427,59041,1
432087,201385,1
887604,827485,1
657038,530123,1
752807,971421,11
631110,522694,2
342182,891249,1
299653,368151,1
385361,794903,1
627392,523624,8
187156,788711,1
495706,28210,2
145644,472153,1
190527,820435,1
631820,782466,2
29335,190438,1
176929,376247,1
781292,352739,1
683982,528681,3
711959,358937,1
40556,300014,2
827174,518789,1
548009,21949,1
660603,248473,1
854169,992042,1
768855,738034,1
382327,178385,1
298201,150122,1
169330,25183,1
828275,895740,5
227484,925090,2
524011,199951,1
407942,762499,1
742619,476455,1
446030,651868,2
890092,62863,1
911599,704616,1
825412,875814,2
323633,580172,1
928751,219735,1
616912,67407,1
786983,526834,1
764676,276282,18
769641,877221,3
126536,571827,1
186456,621227,1
926803,966845,1
891617,548361,1
911395,946802,1
450903,786298,1
839102,399310,2
473083,679563,1
625192,743588,4
697914,685212,174
977003,918703,1
91733,249905,1
125961,855670,1
700757,613079,1
24887,240006,1
222722,249012,2
569002,488946,2
602138,228576,2
183723,328103,1
657845,18297,1
854302,990125,1
780889,556817,1
316765,868960,5
800168,157804,4
677565,519596,7
620769,449770,1
592657,920949,1
943990,443018,2
927210,474687,3
3335,10115,5
983209,261664,1
134705,600128,1
307307,190238,1
155213,808812,1
412858,97464,62
454203,451864,1
67050,682553,1
433565,832985,5
47922,872401,1
75190,38939,1
855186,173638,2
873495,641628,9
802886,891006,2
729912,627150,6
433008,995475,3
697781,358727,1
404228,726080,4
257689,528254,1
347509,161101,1
132236,999896,4
375039,897983,1
374021,517578,1
95510,954715,5
404757,739726,1
285151,534662,1
163776,492471,3
578712,702926,2
31338,247446,18
838659,206113,1
183436,200784,4
558792,741325,13
406061,370360,1
826077,858985,1
192445,983178,1
709872,101107,1
170308,917426,2
577372,382320,4
761378,743979,1
630462,263147,1
76419,632085,3
817263,529096,1
332552,359831,1
39248,500208,16
683329,203165,1
796131,394272,9
676421,629669,1
775736,614801,1
573562,190870,2
216431,23821,1
183768,903982,38
325042,358629,1
801723,898940,1
940609,514068,1
502774,566455,1
509396,709778,734
508504,523423,1
860618,641680,2
181713,396047,1
198004,524750,2
461039,376595,1
50298,97673,1
855190,409342,2
922578,512613,3
856314,702633,3
49259,697871,1
605333,257433,1
17550,690631,1
8720,228175,5
174626,591428,2
792532,826017,1
781311,844150,1
159986,184317,1
643814,320149,1
711081,127261,1
614958,954375,3
371889,868781,1
234313,356890,1
697150,283800,50
670293,121163,1
933823,940880,1
134472,328776,24
829005,522184,1
228499,608931,1
971259,318947,1
949817,718677,1
122409,622356,21
256593,2170,1
328279,769013,7
678223,15087,1
536873,680064,1
146528,398306,2
845454,507555,3
543627,536699,1
361815,479755,5
869532,406973,1
975598,707050,2
701235,668819,1
584559,87044,1
