input1,output1
[],0
[-10],0
[-9],1
[-8],0
[-7],1
[-6],0
[-5],1
[-4],0
[-3],1
[-2],0
[-1],1
[0],0
[1],1
[2],0
[3],1
[4],0
[5],1
[6],0
[7],1
[8],0
[9],1
[10],0
[-947],1
[-450],0
[303],1
[886],0
[0 0],0
[0 1],1
[7 1],2
[-9 -1],2
[-11 40],1
[944 77],1
[460 -233 779 -773 755 770 328 -11 932 923 375 -411 -318 933 -909 -243 -274 -811 -362 246 -931 241 591 257 -225 -9 -193 374 -806 -472 -128 164 586 410 -74 135 607 311 -509 285 871 -913 879],27
[150 346 -822 -326 846 664 858 -350 34 -852 -272 -994 942 894 -8 370 -324 -914 334 318 960 -246 542 228 -146 242 66 -424 -404 458],0
[881 236 -491 373 786 528 -495 -184 -368 128 138 864 -656 426 426],4
[-439 -631 821 20 -727 -141 -901 421 -595 997 -755 383 -971 23 -309 647 -665 -247 794 154 -331 -111 -489 789 -899 267 314 -946 699 -654 193 825 -809 119 766],28
[-779 760 330],1
[848 -632 -910 -200 62 654 -92 -644 -470 946 -876 536 800 600 -412 424 724 -710 -608 582 -810 -154 110 356 -714 278 442 -464 326 348 16 -88 -836 258 826 208 445 842 -544 -200 -352 -604 186 -207 860],2
[-816 953 -159 -935 391 487 498 868 692 -845 161 -697 176 -971 477 -587 56 -13 550 550 -628 259 348 165 971 -136 912 587 -406 -14 589 557 667 498 798 -3 251 -686 811 600 714 552 825 548 565 950 -321 840 -339],26
[-771 143 -842 -736 782 -849 939 -995 417 -577 -47 762 -975 -369 -16 -371 -765 -73 318 -52 -562 891 -939 45 254 616 614 -239 -228 -13 810],18
[208 -536 -246 202 62 276 62 838 -78 303 707 662 828 -192 -820 72 110 -854 -821 180 380 439 124 -910 756 708 -32 996 -176 934 -172 -206 351 282 -510 343 -950 416 518 -969 -186 -852],7
[-597 45 681 -683 439 -853 -609 73 914 -583 321 -397 341 -635 579 -264 -500],14
[668 36 -38 -950 456 896 812 404 116 610 4 -622 482 416 -182 -760 784 884 340 -322 -194 -162 -258 -637 576 852 994 -626],1
[299 -973],2
[-637 -465 -313 285 -371 117 11 477 -317 635 -309 659 -319 221 -711 89 -495 -541 -645 225 -583 773 873 973 45 -95],26
[-247 909 857 323 531 767 -825 433 -97 765 -243 665 -233 -725 -403 675 999 -75 -759 -9 -907 731 443 -171 649 269 203 947 -965 -363 -447 -793 855 837 -839 -171 231 147 215 -599 771 -463 -501 983 817],45
[386 -278 -484 -736 412 -184 -441],1
[-575 597 -337],3
[203 -573 452 -998 327 210 910 336 -488 -512 839 14 908 37 621 -666 -430 698 816 806 -941 274 841 -987],9
[278 -333 -665 891 865 394 516 829 581],6
[-938 996 101 792 672 -886 -357 -435 -660 -951 -247],5
[981 -69 -68 -888 -169 958 -533 -149 150 -835 746 349 -601 -463 -983 -859 -901 334 -297],13
[-377 207 859 665 41 -385 -917 363 411 -697 -375 627 -551 13 763 281 573 -563 -601 -863 -519 783 313 -603 243 491 -831 301 171 -597 -463 -273 279 -927 549 955],36
[375 201 -596 -577 -833 -299 919 372 939 -953 -405 481 547 323 -779 -469],14
[809 937 425 -351 -77 993 -109 -446 971 -933 -686 129 -113 -701 -235 99 983 -517 -767 -739 -896 927 -703 -737 27 -609 -197 103 -213 827 821 563],29
[354 986 -460 222 -44 -454 726 320 -594 -498 -42 -368 -470 46 -428 82 -370 834 -158 678 222 106 -678 458 -394],0
[-776 834 -848 -460 758 238 -726 -628 328 420 -188 -917 -332 778 860 -974 -944 -827 -384 -34 776 124 -790 994 -556 -514 752 40 568 968 844 -436 -868 68 -474 -224 934 54],2
[-462 -662 858 -90 -124 -178 990 914 944 -698 450 838 342 -484 -702 -52 164 -134 350 450 -944 152 284 536 566 92 -136 892 950],0
[-688 -567 -508 -128 248 -380 -826 560 580],1
[-880 -950 788 997 220 -617],2
[-239 -483 749 -139 579 527 513 -443 -277 -955 357 727 -345 427 -137 537 -763 -13 -57 433],20
[232 254 -326 572 -607 -881 574 904 -532 392 -518 352 776 415 320 -634],3
[533 -313 453 174 997 -957 -693 -139 715 349 399 597 520 -94 -813 474 -535 881],14
[-885 -917 -495 855 -483 -381 -263 -157 -753 113 -265 347 -685 -455 347 387 -877 361 -463 463 -581 675 -451 777 -873 843 905 309 223 941 451 521 -909 -603 721 -167 -171 727],38
[42 -678 968 724 468 344 744 992 -901 60 466 60 827 112 293 -46 200 -616 -872 546],3
[-574 -157 -175 714 694 490 -200 821 720 -667 -156 539 -705 -252 -602 697 303 -943 -223 -947 252 419 -396 -751 824 901 912 -661 -137 -366 207 -333 115 -915 234 477 -69 898 -55 -696 132 656],23
[-596 -555 838 154 -642 464 626 994 -506 -673 318 -399 566 -391 -378 846 -474],4
[852 -305 -598 961 -833 908 499 538 -450 -484 838 100 82 -268 -173 -89 -679 -903],8
[-889 -927 -491 -519 905 431 202 63],7
[-531 -365 -794 -13 687 -318 826 117 -117 -86 285 -919 -381 111 347 713 172],12
[283 423 -925 752 893 961 -381 -672 743 -239 -665 -423 463 507 977 -507 -729 292 8 283 -39],17
[-174 178 224 -252],0
[-485 -131 -43 347 331 -731 741 -99 -75 -627 857 495 -433 -755 -815 363 -817 -101 69 639 999 -21 -733],23
[-42 -910 -946 762 418 -223],1
[-24],0
[-73 -250 -588 -860],1
[-31 513 465 -301 899 -295 -905 -729 155 469 549 797 -471 741 -357 -420 -4 533 -815 -769 -893],19
[-303 399 773 727 -195 -221 361 467 -547 373 -971 111 -199 707 -113 1 -705 -51 -29 -505 -239 -631 -819 311 -31 647 151 511 -161 -15 459 -427 -701 517 705 -803 999 437 -919 -987 105 879 383 875 847],45
[-596 554 -438 750 -748 370 450 -332 -817 383 193 308 -68],3
[-256 664 -30 488 -538 -132 -176 -924 922 930 726 -361 762 978 634 542 -984 434 392 882 -578 414 -100 -440 128 -982 -848 -416 578 736 -724 984 -864 358 -352 387 -838 -239 646 -176 136 962],3
[821 685 975 493 763],5
[584 714 868 -2 827 760 942 -318 -716 766 -866 472 -766 306 -680 -8 -418 -432],1
[319 539 -199 721 -215 -417 191 -729 327 -91 989 275 227 -337 -521 -165 -573 -309 -555 393 565 947 -631 -889 427 463],26
[482 584 -969 -437 -549 -664 696 -333 521 974 -132 2 -590 -106 -123 -311 910 128 -13 903 450 -586 -150 -281 -523 -612 -897 525 64 326 183 -321 -328 785 -571 205 825 -577 201],21
[296 -454 -116 280 -591 797 -560 644 34 582 152 369 747 558 -848 -858 -646 -416 -474 -774 782 -455 -210 942 392 -80 696 180],5
[828 492 546 454 -214 0 30 558 -450 -522 -964 174 -542 8 -68 -856 -746 888 -776 578 -652 -578 250 -574 352 74 -654 -156 -766 732 580],0
[148 -46 908 -737 -40 1000 220 -398],1
[155 -591 -405 -361 737 625 513 281 283 173 -353 -967 -205 837 369 -49 -885 803 -403 -575 -713 597 -727 211 433 475 717 171 171 -379 345 -209 693 -867 -87 -69 -717 789 53 -997 983 523 47 -687 357],45
[958 592 814],0
[-32 -393 -698 148 260 914],1
[-242 -988 -742 766 -864 406 256 -670 -780 278 402 760 550 918 34 -680 -370 -396 464 -420 -6 20 -462 -902 -882 650 104 -338 -152 -442 316 -568 -866 -936 642 398 334 732 -532 -420 876 224 -416 976 946],0
[-369 -520 -208],1
[-334 21 128 -425 -574 -254 -638 -140 845 -791 -247 -732 -361 -941 530 771 -5 -890 -943 482 -881 655 68 39 -748 -412 998 -321 -296 -832 354 -846 -168 -654 -688 592 -855 -647 -490 268 374],16
[815 699 273 -967 -765 -227 -479 -575 991 -485 -429 565 -53 -679 -663 -599 -923 -33 -889 -775 717 -771 241 -911 -221 -225 -41 -501 101 -797 507 -577 -847 -519 71 -603 625 811],38
[546 908 -888 -463 973 580 -892 91 608 -889 -655 535 309 799 774 17 606 485 323 34 -738 -589 -619 -645 707 770 -71 -828],16
[132 -592 -992 -618 456 -794 506 -232 -686 936 276 888 -170 -332 958 98 -126 104 -974 912 864 318 664 8 118 984 -668 -568 690 388 -232 -538 -362 1000 698 688 678],0
[-269 785 285 415 229 95 177 303 215],9
[-853 -980 -780 486 -858 994 75 -330 638 -426 -396 865 472 -683 331 126 -770 -823 863],7
[153 -370 -770 -193 827 -265 -188 30 -231 738 432 -774 845 460 651 -526 717 155 -917 -862 -706 -517 857 -682],12
[-632 -644 388],0
[-784 -620 -14 654 602 140 550 562 -922 -30 406 897 22 -138 -560 788],1
[278 216 -604 421 -254 584 -76 320 -618],1
[547 347 209 -789 699 437 641 593 809 -639 -993 443 141 747 -558 856 449 33 23 -713 511 371 -707 -579 65 -839 -648 629 375 245 -835 -743 -993 619 -344 559 979 909],34
[89 -23 -690 786 925 -333 -230 79 -266 -591 321 -471 -247 -457 578 211 297 -263 439 -877 709 -379 241 -950 671 -357 431 257 -362 -553 -241 781 895 741 587 -203 909 -357 -207],32
[-866 201 139 831],3
[860 -826 155 52 -969 170 614 -455 -410 -815 -816 -730 412 -942 -308 436 232 251 188 671 -568 226 -846 914 -926 -702 67 -694 776 952 284 -620],7
[483 -665],2
[701 -231 845 734 697 -58 -719 346 -826 56 -292 -251 -108 633 -153 185 -575 -545 195 165 906 -801 963 -17 -665],17
[-469 -289 301 -787 989 -263 621 -619 -239 -987 223 -803 -777 -187 -215 -935 391 -35 953 561 707 923 -751 311 3 -581 -441 137 -923 815 -997 299 203 -347 -805 953 443 429 -25 863 351 -315 -305 -907 845 -799 641 -645 589],49
[297 866],1
[194 -809 205 622 -558 213 -469 726 330 521 625 681 225 747 -601 -121 -175 619 -191 534 775 -124 50 632 195 -862 -19 -779 725 -218 931 905 620 -836 -354 825 328 -315],23
[-914 -84 870 284 -230 502 624 -464 -762 -702 986 106 -922 -362 442 -442 788 750 924 -718 144 -620 -332 556 -976 -682 286 324 392 -886 456 972 26 -8 -900 74 470 840 -810 -980 364 648],0
[165 -191 -287 -412 797 -819 553 -644 -543 -91 -865 -384 -555 509 -871 -141 -89 -36 257 -753 480 209 -85 835 133 -872 -104 297 -967 -958 -593 624 102 -288 -308 551 480 979 197 -293 -773 -267 143 -550 315],31
[203 -331 -542 251 979 386],4
[-158 820 -611 -609 723 727 346 -579 122 880 894 -562 -880 -480 390 -179 -463 -792 224 576 -843 348],8
[415 -843 -453 723 -675 409 445 -825 943 -869 125 -741 -649 -577 -555 -831 17 -347 -117 -211 185 915 625 -207],24
[-748 250 -440 698 -398 761 -88 -686 -700 792 995 932 983 -344 897 -55 -299 73 174 697 93 353 643 -621 383 999 163 -255 419 -107 -671 273 -670 -33 -703 217 582 424 925 -574 471 233 -474 -484 471 62 -702],27
[-80 971 -345 423 541 -245 991 57 287 -526 -623 -494 -707 -678 717 -878 490 -625 479 89 837 201 -479],17
[170 -649 424 -390 -912 -767 -565 -829 857 -322 -353 -258 372 -952 588 -710 -774 -913 -144 -550 934 -25 -938 579 -524 963 -678 580 -641 466 -839 605 -10],13
[252 870 930 -582 -702 990 -768 199 348 948 41],2
[834 266 942 -526 -330 460 422 -774 -414 -848 194 176 892 -226 -108 -604 440 248 580],0
[-774 -498 536 902 -652 708 -306 570 -102 -822 972 484 -480 -476 -360 154],0
[-760 514 -504 -632 -516 30 566 158 -738 -412 28 588 544 -480 -496 -760 732 -828 518 208 788 616 238 536 -410 324 64 652 918],0
[-272 960 906 228 -838 732 -830 136 10 -924 -406 -330 -992 -92 -638 -956 368 201 -192 -832 872 450 804 250 -231 -633 -734 672 184 746 200 -310 -476 808 222 736 514 244 772],3
[120 804 -518 190 178 -158 -704 336 -104 232 -50],0
[141 -649 -745 921 413 181 27 -221 -705 547 -401 -741 171 -521 -711 683 717 -863 711 -857 -641 -683 589 -721 767 151 -141 1 -9 123 -657 -909 691 -129 479 341 -427],37
[333 134 770 -382 -418 -580 -504 -926 -920 882 412 626 164 -850 -257 536 -998 294 -583 -387 817 796 570 -740],5
[-751 245 -877 -849 -27 -729 759 249 -249 -827 -97 -77 629 -541 161 911 -875 275 -203 -493 831 -209 165 -379 191 -377 273 55 729 187 201 -97 726 -741 683 843 -853 -339 -687 -125 502 881 779 -801 645 -993 -853 -117],46
[609 207 -541 709 719 621 121 149 -323 721 21 -827 773 -69 913 -321 -367 587 -893 -697 -907],21
[-766 -503 -206 226 -160 -959 640 -496 -578 66 -626 279 873 231 924 -513 -654 -243 -323 715 -290 -960 -930 566 -499 -210 736 669 883],12
[-236 64 922 874 -988 692 34 -702 -164 518 268 -570 690 -364 -135 -996 318 984 -438 946],1
[-441 147 -891 352 -206 -280 -922 -215 438 -318 -863 87 109 -748 -453 132 728 -916 -584 506],8
[-869 825 -867 -197 285 977 -926 831 848 774 -823 305 115 -85 -965 73 -217 -671 327 591 -551 -795 -937 -151 315 -903 487 946 301 175 391 179],28
[560 980 -926 -328 -460],0
[66],0
[-713 378 -435 -485 889 719 412 236 -2 -270 957 -354 103 769 31 218 -347 802 -726 -653 706 946 -108 -56 149 227 709 711 651 761 348 359 417 472 -228 213 -349 -751 971 179 309 317 -928 -355 -999 -996 -12 -188 803 512],29
[-589 -119 -691 329 273 437 835],7
[437 152 -988 587 118 62 -17 -366 943 -255 738 -432 -630 506 23 -203 599 -975 715 -639 153 -217],13
[880 -283 40 -863 -772 649 -538 718 314 844 -952 569 -994 -573 37 -736 -421 703 -870 -742 316 639 695 925 516 -67 41 -323 222 266 -563 732 66 -296 753 -415 356 868 -635 692 969],19
[-37 72 -905 432 419 846 -895 266 -345 -437 978 71 721 847 -504 -231 -979 -481 943 -558 -943 -917 913 157 -649 -379 779 -461 561 282 -209 631 269 -737 545 725 570 -84 -535 -263 977 -383],32
[-485 847],2
[-283 -463 63 489 265 829 491 477 878 301 866 577 991 315 957 -452 -976 221 -373 303 -52 33 239 766 951 -869 429 301 -95 -996 701 -653 -163 -184 -911 -977 -875 290 514 -145 667 549],32
[-133 -801 39 -39 -57 797 233 359 167 197 55 -679 -208 954 563 -619 709 -3 557 227 -893 401 405 -309 697 423 -647 -577 665 -981 -625 -151 -523 -741],32
[-611 -571 -553 -660 -737 -655 -91 -20 -652 423 821 23 -167 -55 -505 487 -565 -143 217 769 -423 -250 -291 -572 279 463 -83 251 -15 -185 -631 164 375 -638 241 -322 -498 -423 -137 791 797 -326 135 861 -257 628 -751 -491 282],37
[485 -137 615 -843 -373 -733 173 -153 -631 243 -333 -759 409 -727 415 443 253 -863 -471 877 825 -913 875 417 -51 141 951 125 311 -513 367 -497],32
[756 296 -666 681 -954 -835 -972 -816 -735 8 -636 470 212 -123 -676 664 638 -982 -177 -774 846 509 772 338 -849 693 661 -587 -417 940 536 -291 446 -971 -257 -586 -496 -969 -562 -714 254 -631 -750 857 -732 345 -87],19
[-716 -866],0
[561 436 314 493 -871 -946 129 -891 -383 -974 250 -942 -179 -25],8
[-553 710 -633 258 346 998],2
[169 787 -277 -621 497 -35 87 349 -587 781 853 -987 -319 415 -145 149 731 -673 499 -693 439 -141 11 859 823 -501 -1 735 453 -913 -947 571 -991 243 -715 857 943 969 -963 991 -373 -717 233 677 -641 205 657 505 665],49
[-729 -327 37 331 43 -813 71 643 -461 143 557 685 387 133 759 903 581 793 -327],19
[-910 226 -732 810 -582 94 -892 -42 950 766 108 -772 -506 464 338 580 408 228 -616 -136],0
[651 -912 -482 -364 -238 -35 -16 198 963 -112 -916 -787 -918 190 -913 939 -854 402 -386 6 -850 215 298 -578 363 -316 -241 -644 328 -626 244 756 305 895 828 204 377 -436 226 674 -217 232 67 772 -436],14
[768 990 -814 842 304 -358 252 -747 997 209 71 471 -367 -26 550 -820 730 -307 222 544],7
[424 -114 -1000 -800 -510 -752 860 -786 936 -322 374 -458 256 -8 -774 -802 714 216 -88 -582 676 150 584 492 -984 696 -16 246 -522 80 -298 844 -68 646 208 226 292 442 -268 419 80 802 -406 146 466 166 34],1
[852 -228 -448 358 108 -878 -308 28 -588 76 1000 978 -54 546 758 -628 800 -466 276 450 600 -994 -788 -284 806 618 -790 776 686 956 -356 -66 -592 -202 630 412 896 -850 108 296 -746 856 564 -756 -436 662],0
[-524 -906 -917 -265],2
[-634 -446 -928 -138 138 62 972 542 400 610 -834 240 832 -418 -90 130 -184 90 -404 290 -808 534 540 52 -294 -68 -838 378 176 720 510 818 434 178 -898 162 610 -170 718],0
[39 -633 489 -454 998 625 -401 -799 -496 -716 292 177 189 -407 21 623 257 -271 -81 -762 922 696 -21 715 -255 5 949 -951],20
[66 -522 915 160 908 646 -460 732 870 -4 572 334 -318 847 758 -824 -38 328 -558 382 781 -476 930 -443 173 632 856 -238 402 766 916 718 -526 972 848 -361 -703],7
[340 -580 39],1
[647 561 -617 767 459 -333 897 -951 -523 621 -115 -79 15 -35 -121 -731 91 -11 855 -67 -75 -209 -29 -787 153 107 -57 121],28
[253 377 -567 -318 331 217 945 -753 379 -503 994 -117 -392 919 -543 -777 -779 -937 -16 -357 -855 119 -795 821 -263 -342 -382 456 -173 -601 -13 383],25
[457 -299 968 771 605 -303 562 -379 742 -675 -586 -438 766 -9 -731 -588 5],10
[175 358 843 731 -591 -7 997 -825 948 627 -819 -503 -185 -693 -543 353 412 602 315 -259 -969 147 509 263 -785 603 54 905 -759 813 -839 -119 -887 -199 418 819 317 -449 299 -765 77 784 471 787 353 990 -403 -211 -427],41
[-69 -237 -130 -22 -943 182 227 629 587 676 700 -19 -786 901 -98 -799 -487 -923 -675 -939 -445 540 -579 154],15
[311 77 -853 753 -721 -85 -443 -71 705 375],10
[947 -687 405 912 -376 -392 -37 -423 195 -358 -61 308 798],7
[714 -742 566 -162 -757 -231 274 -687 38 243 382],4
[-713 -239 -307 93 553 -815 638 -573 541],8
[-248 -428 258 302 -426 -344 -164 -246 -838 46 142 224 -194 126 -100 854 622 -864 -926 506 -88 956 356 -508 68 62 -946 382 -628 -794 542 -48 66 214 384],0
[604 -240 272 -520 -544 734 -572 566 368 750 -697 -268 -502 530 -433 -328 312 276],2
[-702 -604 91 934 -973 159 272 -215 778 -107 925 -440 -785 284 -936 817 940 -472 -639 747 788 17 536 253 125 -796 -425 -6 998 -164 -385 315 -392 61 993 229 -475 -377 -21 261 775],24
[807 -361 -779 93 465 287 449 909 -207 -601 -349 -989 -309 -503 -211 977 -629 -515 871 -837 513 741 625 -793 -889],25
[-843 314 380 -990 -9 267 -745 915 682 -424 673 -574 885 -398 -292 572 -176 933 569 124 544 998 -548 569 683 819 -461 558 -589 912 555 301 501 -356 -491 -441 -933 258 732 -704 -171 -230 909 -168 -399 -57 -79],25
[443 -17 55 623 -303 -593 283 -375 27 89 -409 -813 429 -83 35 873 -731 -427 -831 -237 -809 -551 -563 -141 -941 983 -205 -549 -221 989 81 979 869 -967 -707 409 -293 531 -549 663 -897 -807 -297],43
[890 -98 698 -550 -278 -556 533 507 -142 -528 -769 716 252 196 -126 -685 890 -756 -932 420 -966 -307 -278 -604 617 820 -31 252 936 -868 38 884],7
[995 673 -699 -588 545 -717 154 -546 -87 304 704 -152 -572 -373 -905 -509 -283 -528 -824 -63 -753 -112 621 -889 872 286 -227 -605 -242 -986 -66 -281 221 -992 279 724 -931 -761 -909 95 -652],23
[611 -14 631 284 93 67 858 643 897 464 -281 663 -297 -366 -309 -427 -223 87],13
[175 57 -745 -721 609 -113 -287 937 269 600],9
[-331 -890 -529 373 329 559 -891 -617 -299 -99 -57 562 -9 147 33 571 -761 878 -433 411 -871 -743 -910 666 -545 -623 -531 102],22
[941 321 851 -805 201 23 765 910 609 -279 75 -39 -355 -453 -118 -334 -451 -864 -838 -615 -112 -515 173 345 597 -376 -606 327 -945 -130 -837 -919],23
[-257 -777 429 -96 771 53 -228 -601 -602 -884 -995 -927 -389 -795 -435 249 -309 563 -269 679 585 -229 387 855 837 -323 -631 -661 350 -605 -165 963 409 -319 939 543 255 571 -975 244 433 -763 251 789 389 585 535 295],42
[654 -935 304 -756 645 -834 253 -878 796 -338 765 -204 -329 632 -684 -486 497 -11 -605 151 481 911 697 -736 184 -488 -720 438 -589 -717 236 -195 855 569 907 980 -398 600 199 607 921 -915 -534 35 -164 45 -973 508 464],25
[-882 -731 -291 547 290 -190 69 577 -800 372 -555 210 585 -492 834 602 544 950 -936 -671 364 757 838 -269 362 945 304 311 358 378 598 -326 -7 -480 163 -651 -423 721 -503],18
[-80 -780 -906],0
[-108 -982 64 511 261 532 -112 -38 -406 142 -212 -960 669 120 -614 664 841 74 197 -918 -740 -326 373 -262 27 -511 698 -778 456 -786 -996 624 -981 74 -782 -903 628 444 760 -83 536 370 468 -164 180 664 -830 -207 -68],12
[240 -254],0
[810 94 -722 -644 -992 6 -640 394 994 -182 690],0
