input1,output1
[6],0
[7],0
[8],0
[9],1
[10],1
[11],1
[12],2
[13],2
[14],2
[15],3
[16],3
[17],3
[9998],3330
[9999],3331
[10000],3331
[6 6],0
[9 14],3
[9 15],4
[14 9],3
[15 9],4
[32 32],16
[33 33],18
[10000 9],3332
[9 10000],3332
[10000 10000],6662
[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6],0
[7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7],0
[8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8],0
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],20
[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10],20
[11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11],20
[12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12],40
[13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13 13],40
[9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998 9998],66600
[9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999],66620
[10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000 10000],66620
[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],15
[1919 3858 4086 9690 859 8676 3872 1166 276 3220 3202 4375 9468 4312 3196 4928 3481],23489
[1715 3761 2040 8328 894 5089 9436 4048 6132 2992 5398 169 1402 652 8105 3842],21297
[2339 3454 2028 967 7695 919 846 4132 5248],9189
[767 6297],2350
[1980 498 3010],1823
[9329 3192 6820 4306 5403 7367],12125
[1967 6805 1061 2406 1046 1502],4914
[7046 7670 3064 9492 2339 5726 8831 2686 4964 4038],18594
[5140 6632 6789 7553],8695
[8941 3853 9794 9592],10717
[8218],2737
[9010 1273 5373 4337 1071],7010
[3098],1030
[5074 2139 5916 584 6915 1455 7522 6448 5043 1141 4269 902 1547 6428 7520 1973],21588
[1267 6044 7457 10000 4187 1511 5242 8519 3273],15811
[4861 4549],3132
[9123 1132 5697 4938 1108 5192 6226 1281 6968 5200 9571],18787
[8645 7930 9423 5037 7281 1489 1216],13658
[6211 7939],4712
[7361 6160 4890 7381 6704 8329 3483 4204 1494],16648
[9598 3844 3713 7921 9913 9603 2251 541 7077 7425 2031 2925 7604 4478 6266 7113 4053 8487 5381],36698
[8182 224 5062 9178 5078 3557 9204 8879 3848 9580 6686],23132
[7695 5853 5865 5639 5067 1949 7487 8937],16146
[974 8968],3309
[6017 1997 8980 8521 9614 1576 700 843 4519 9072 1471 5165 5015 9220 3453 7923 7989 9943],33964
[8755 3481 2192 8830 9808 3849 9168 7336 5207 956 8149 355 6349],24781
[4503 3125 6771],4793
[8865 558 9378 8409 6024 6436],13211
[7109 5686 6983 738 9837 5681 4910 5544 9554 6408 7991],23454
[9398 2584 2896 9397 930 5819 2566 6296 1085 9833 1947 4506 4128 1277 4542 9424 6075 4031 4620 3596],31603
[2492 8097],3525
[7349 7272 7858 8883 7429 6003 2348 936],16008
[97 6248 7604],4642
[684 4398 8978 2992 6522 9526 5922],12992
[5379 5753 1346 9157 1957 2831 8878],11750
[5987 6521 4893 8637 156],8720
[3067 3913 3551 8878 5108 5471 5839 8072 5682 6942 1191 1986 3265 4642 5173 3397 8295 6191 3491],31340
[494 9975 7218 3281 6313 9277 7597 4369 2252 2610 8931 3650 7539],24472
[7089 4968 4737],5592
[8683 4918 3325 7902 5570],10121
[9489 209 9158 2801 6304 7254],11724
[7027 3710 37],3584
[3247 7144 5781 7557 7322 7749 1789 63 39 7191 4645 3010 5351 4617 7533 7282 2939],27715
[2004 3213],1735
[6467 558 4087 907 6868 1475 1772 2998 2872 6843 4227 8345 3424 4205 6820 5173],22309
[5441 6051 2539 1347 6432 9067 1237],10689
[5046 8411 4791 7595 8335 7931 3727 4242 612 8516 227],19785
[483 4970 1000 5986 9183 3445 1905 5270 8120 455 9507 8707 5155 3349 3632 2745 2878 5321],27328
[6756],2250
[8685 1990 4136 238 8824],7946
[1335 3625 3974 6344 2512],5918
[2297 3967 304 4784 687 3613 3082 2337 9987 1177 7567],13242
[3691 3570],2416
[1751 7768 7843 3978 3144 7177 3970 7105 9831 3800],18766
[3525 5241 3766 9244 9507 2767 6629 8102 2364 7332 7652 7519 5101 3016 3141 1814 6577 9519 2430 5926],37012
[6791 7109 1301],5059
[2975 3866 2237 752 8873 3608 7090 879 6741 1470 5107 9569],17693
[638],210
[253 2516 5440 9250 1196 1522 2906 7350 3530 839 7318 8690 2438],17717
[2826],940
[7438 8703 9001],8374
[1285 1557 2316 1371 5676],4058
[5301 4928 5839 6114 2170 2625 4759 4304 1271 6815],14685
[9363 7280 7522 2208 726 8213],11757
[3085 484 1211 2847],2533
[9075],3023
[1560 5557 1807],2968
[8600 4499 8554 3274 6270 7241 6985 2898 8187],18815
[4797 1390 8724 6285 6270 5208 9951 8039 9703 8596 1623 9221 152 3451],27772
[2646],880
[2845 5818 7571 9431 4917 4957 5402 7182 2553 7792 5323 9523 6019 9184 4109 6208 665 9158 3922],37481
[6169 4506 9355 6732],8912
[3830],1274
[5587],1860
[3057 9830],4291
[5231 1811 4783 2827 6043 243 903 4411 6028 2412 5104 567],13427
[4249 3916 1792 9960 5458 2979 5936],11414
