input1,output1
a,1
b,3
c,3
d,2
e,1
f,4
g,2
h,4
i,1
j,8
k,5
l,1
m,3
n,1
o,1
p,3
q,10
r,1
s,1
t,1
u,1
v,4
w,4
x,8
y,4
z,10
,0
*,0
 ,0
Q ,10
zx,18
 Dw,6
ef,5
!!,0
 F@,4
ydp,9
4ps,4
abcdefghijklmnopqrst,56
ghijklmnopqrstuvwxyz,73
zxyzxyqQQZXYqqjjawp,140
h w h j##r##r\n+JJL,39
i !i !i !i !i,5
QQQQQQQQQQQQQQQQQQQQ,200
$$$$$$$$$$$$$$$$$$$$,0
wwwwwwwwwwwwwwwwwwww,80
1 1 1 1 1 1 1 1 1 1 ,0
 v v v v v v v v v v,40
Ha Ha Ha Ha Ha Ha Ha,35
x y!x y!x y!x y!x y!,60
G5G5G5G5G5G5G5G5G5G5,20
+nx_=VHR?I=GX3EMy,37
_<\EQ;S6qs?&G'1g,27
xC{:8VQ,25
JS5rgG-,14
7eEy$7yb\n}-1OL,15
"fGBg. cy""VT",23
0[,0
-6$~N&h\)2Z'UZRP,30
%19G}S$`K,8
"\nP,n |TVA<_>#o""d",13
"lx7{:O|CLZUWw(j,g!N+",44
",AOl G>?mb}",11
"filqiRgbgI""z)wVGe:*",47
N#/^aG{,4
B|fq2[-$xi;R,27
E~Gaa,5
$6B%' ~,3
VHj,16
$s,1
']7JL1Ab^UW&*jB,29
i[XO?D,12
_<Ri=,2
m8h?oz5,18
"P\6WE?i""n!	1Pw-",17
zMkpD_1xe@e!9:A,34
06&h!Re1t GNT($:V,15
<VBB&s1V,15
LQ5=J;TKP>*g,30
cVH,11
dW>	>=I,7
7!3	#K9	,5
-g/B,5
5*LB]UxQH	g?bUU,34
kUtUQVV3jnxbuFFa\Hms,64
u[w7,5
jd6z4J&,28
#BM-=bJED=e,21
0p_/P+~GR,9
5S5HPqg$3pTRTmq$M,42
g%R8[q})x,21
"""V:R4B=",8
"[esTO0Z4z/""6q}i3W#*-",39
*_,0
hZS,15
..4~/rW=Hi]z,20
^dz84`N7&'5lR,15
"z4 T\z9,Sq_$y(<`>M",39
Hc}y,11
S<-uudnMEGJ,20
zWEgF2.k),26
~hR<}B!B8,11
DW;Rq1;&=F|PU>M!f;,32
1CJgbeLir)F~s,25
q]<t7:=*	It8|GOFL>e,22
=\[O,1
}#wyW>,12
"5$n%f&O7U{457""a].B1N",12
"^g(1!c F1H;\cMF""",23
W%	fi	#FsyZCd3,33
`n,1
HlE(q1Kj,29
gASEB,8
K*S<7Y%X\n(=01,18
 ]>1:e>/wK{(7Kt.M}/ ,19
w%:qtfbD>XhAil8)[,39
"|U9gc(eel/}/,kiDcyK",29
\]9S7\n6?nMGW#6:f<~c,18
Z)KGgw%dHwSOV\n,39
+dw1R7Rg-s:)`knr,18
'C!9>9l/6X#~,12
"#""CHe_bUhEba",21
IkK\W,15
R*KG#QB,21
gj=7sHq<\nWJ,37
poP9?h!i;DX9+,22
a;M`C=+a%U,9
.wKOl\(lhvQk.M	),38
Xd>$QrTSTiv,29
".aO"">u7O {d3LHy",15
n^?*r\nPG+zgD4,21
K'Z;@|kZ6*;n,31
AjQHE@(o`,25
gS>CNymImeIicD+Es_,28
3x'y&K*v1_}Q.&Q9L,42
ja]pT(	!=Koo,20
bS8U0o5mDi'5f\n%,16
9lHX_X,21
+%MB,6
"x;$Pj{,(_}5f#5&M",26
Z@oT\nIUvRV5o,24
~*C;85DSJyTjZ,37
%L(e4~Cg@HhZw^2,29
"wV=,83kadv",20
Tm&71$.lV~pQ[^ON,24
m9r5,4
mwt|8^}#=\qHPW,29
2;NeII5Lt.yvnci(Df$f,29
"um5-PL!hE3u[r/~8n""$}",16
"S({e8""B",5
XA@#%,9
<[f2qG-s,17
1\d,2
6qxW,22
"""7H]f}Vinwo>$gB:",24
"q\*""k""b4<@i",19
3\ni3y9i!9X '8O,15
uOeL.QJ&8k\9ul%x0l,38
:l+kGfsHb,20
ZyJ]DOs(i!!!cl,31
"7Su""[W6Ip8K]d(ktwI",28
:L9W,5
xI\!E/>!a_,11
 \K_\nq;50>r,16
RjT nn4|V5'T!}&,17
8+v~^w,8
"	p}%""NCTI&F*0^",13
0?@P\nWPoIN3SXG,24
:QC]@7Hi\c;xEt,31
"zL$Sc"".n;uy>,aV95",26
?A,1
A^K~LHf\E!}=,16
|J	a,9
h)7RXj#,21
9U?^7tM}klRT'rz=R,25
[&H,4
ZY0qp@3#H#7,31
rfV8iPb&v,20
AdfxwtKw1EO,31
)vw`1c=kxZU,35
g);`97%k%CxE+H,23
"\r>~?>	0""",1
DA! .wq[tKz0>,33
s',1
]aZLmp,18
"Rz%}""j",19
TZ,11
"de?^>0,",3
/EsN>02li6leT}Kjr,22
#56ROsP:cVy.^\n+j,25
L|#_Z$\0lG)%1+H	,18
iT|EXOV,16
	L\ne\ni9;2p\4+,6
Yewj1C<bKDo:ch*A[}I,40
"s.f0],pBG6OVn2^:8M",22
l#Y+z!?,15
"~l@LV,",6
}DJpj%.9<Dp,26
x-k6;,13
(<YbBEE>W;(,16
e8Wh,9
