input1,output1
-10000,small
0,small
980,small
995,small
996,small
997,small
998,small
999,small
1000,
1001,
1002,
1003,
1004,
1020,
1980,
1995,
1996,
1997,
1998,
1999,
2000,large
2001,large
2002,large
2003,large
2004,large
2020,large
10000,large
177,small
-1113,small
-1958,small
-3416,small
-2415,small
-5035,small
-703,small
-2557,small
-9654,small
-3307,small
9934,large
9343,large
2296,large
-3847,small
-2490,small
8009,large
-8988,small
-941,small
-4500,small
-6136,small
5155,large
2530,large
226,small
-170,small
7776,large
6026,large
7351,large
8432,large
437,small
2691,large
-195,small
-6919,small
-6691,small
6697,large
-4503,small
-9485,small
-4869,small
-4280,small
-1064,small
8844,large
6036,large
-8363,small
-8050,small
8517,large
-1748,small
1585,
-2729,small
2309,large
4954,large
-1729,small
2498,large
1820,
7406,large
-9031,small
8733,large
-9001,small
-7455,small
-1020,small
3640,large
5030,large
9191,large
5823,large
-7622,small
4731,large
-8419,small
3129,large
-9756,small
-4634,small
5342,large
4086,large
1774,
4058,large
-6857,small
-7690,small
2181,large
9229,large
-1506,small
-3115,small
6443,large
-812,small
2766,large
9667,large
7090,large
-3544,small
-9884,small
-8402,small
7058,large
2763,large
8939,large
6939,large
8464,large
-3577,small
-8010,small
3971,large
-8294,small
-9508,small
-4956,small
6560,large
-4181,small
-1526,small
3918,large
-7792,small
4352,large
4976,large
-280,small
6115,large
9511,large
5422,large
-24,small
3569,large
-3252,small
2257,large
-1105,small
-3707,small
-684,small
-1632,small
9054,large
8677,large
2055,large
4301,large
-4478,small
7766,large
5134,large
-9550,small
5118,large
-8604,small
5722,large
1230,
90,small
-1900,small
2864,large
-7002,small
-9491,small
-7793,small
2507,large
9443,large
2002,large
9201,large
3000,large
849,small
-1519,small
3741,large
-273,small
-9511,small
138,small
3531,large
4985,large
4533,large
3514,large
5795,large
-5650,small
-1901,small
-5358,small
2332,large
-9718,small
2142,large
701,small
-8615,small
-1671,small
-3236,small
8277,large
-3651,small
-8243,small
-9050,small
-9427,small
-2873,small
-68,small
3218,large
-507,small
4126,large
-168,small
8623,large
-2009,small
